"","program","review_title","review_rating","review"
"350","College Year in Athens - Semester and Academic Year Program","Best Experience Abroad!",5,"I gained an awareness of Greek culture, made mistakes along the way (transportation, money, language, etc), and I made lifelong travel friends. I got all I wanted out of this experience and got to truly know Greece in a special way! A student - Valparaiso University View Entire Review"
"351","College Year in Athens - Semester and Academic Year Program","A Life Changing Experience!",4,"I learned a lot about how other people live their lives. Specifically, I learned how simple and slow paced people live their lives. I also learned how to be more independent and engage with new people. It was for sure worthwhile! Yazmine G - Brandeis University View Entire Review"
"352","College Year in Athens - Semester and Academic Year Program","Time Of My Life",4.5,"I met so many people from different universities around the country that I still keep in touch with and I learned a lot about Greece and Europe Bruce H - University of Southern California View Entire Review"
"353","College Year in Athens - Semester and Academic Year Program","Study Abroad With Cya",5,"I gained more independence and a broader outlook on the world, I learned about European politics, I made lasting friendships A student - George Washington University View Entire Review"
"354","College Year in Athens - Semester and Academic Year Program","Summer Of A Lifetime!",5,"I gained skills in cross-cultural communication, knowledge about Greek history and culture, and most importantly, made lifelong friends. Grace W - University of Virginia View Entire Review"
"355","College Year in Athens - Semester and Academic Year Program","Such A Great Time",4,"Being thrown into such a foreign experience you are forced into positions that may not be the most comfortable but that helped me to learn more about myself. 100% was worthwhile. Sofia N - DePaul University View Entire Review"
"356","Berlin Consortium (BCGS) - English Program","""Ich Bin Ein Berliner""",5,"Going abroad was the best experience I have ever had!! It was a challenge, especially as a Neuroscience Major, but with enough credits and determination, it is most certainly doable. A student - Barnard College View Entire Review"
"357","Berlin Consortium (BCGS) - English Program","More Than Studying Abroad: Really Living In Berlin For A Year",4,"I feel as though my year abroad has been a challenge, but it was completely worthwhile. Getting a visa, finding an apartment, and adjusting to the university were all difficult at the time, but I got used to things, and now I can feel truly independent and capable of anything, even in a foreign language. Alexandra Q - Wellesley College View Entire Review"
"358","Berlin Consortium (BCGS) - English Program","Study In Berlin: Immersion In A Foreign Culture",5,"My decision to study abroad was the best decision I have ever made. As trite as it sounds, it really opened up my world in a way that you can't get just from traveling. I lived in Berlin and now consider it a second home. Julia B - Wellesley College View Entire Review"
"359","Berlin Consortium (BCGS) - English Program","Study Abroad In Berlin",4,"I looked at it more as a personal growth type of experience. I realized what I wanted to do with my life and discovered other outlooks on life. I also met others who had similar and not so similar passions. As cliche as it sounds, it really did open my eyes to other interests and experiences. Lily Shin-Li D - Wellesley College View Entire Review"
"360","Berlin Consortium for German Studies (BCGS)","""Ich Bin Ein Berliner""",5,"Going abroad was the best experience I have ever had!! It was a challenge, especially as a Neuroscience Major, but with enough credits and determination, it is most certainly doable. A student - Barnard College View Entire Review"
"361","Berlin Consortium for German Studies (BCGS)","More Than Studying Abroad: Really Living In Berlin For A Year",4,"I feel as though my year abroad has been a challenge, but it was completely worthwhile. Getting a visa, finding an apartment, and adjusting to the university were all difficult at the time, but I got used to things, and now I can feel truly independent and capable of anything, even in a foreign language. Alexandra Q - Wellesley College View Entire Review"
"362","Berlin Consortium for German Studies (BCGS)","Study In Berlin: Immersion In A Foreign Culture",5,"My decision to study abroad was the best decision I have ever made. As trite as it sounds, it really opened up my world in a way that you can't get just from traveling. I lived in Berlin and now consider it a second home. Julia B - Wellesley College View Entire Review"
"363","Berlin Consortium for German Studies (BCGS)","Study Abroad In Berlin",4,"I looked at it more as a personal growth type of experience. I realized what I wanted to do with my life and discovered other outlooks on life. I also met others who had similar and not so similar passions. As cliche as it sounds, it really did open my eyes to other interests and experiences. Lily Shin-Li D - Wellesley College View Entire Review"
"364","Copenhagen Business School","Happy Country, Happy Exchange",4,"I learned that I can do a lot more than I expected from myself while abroad. I gained a sense of independence after being away from my home university. It is definitely worthwhile and if I could afford a whole year, I would have taken the opportunity to do my exchange for two consecutive semesters. Harrison Nguyen - The University of Texas at Austin View Entire Review"
"365","Copenhagen Business School","Wouldn't Live Here But A Great Experience",3.5,"Absolutely. Living in a foreign country alone is difficult. The first thing you learn is how much you feel like you're missing out at home - your family, pets, friends, food (a very big thing), the weather, etc. It might make you feel lonely if you don't find people you really click with right away. But it's great exposure to pe... Jeanie S - The University of Texas at Austin View Entire Review"
"366","Copenhagen Business School","I Loved Experiencing A New Culture And Meeting So Many Interesting People.",5,"I gained an appreciation for another culture and learned so much about other people as well as myself. It has definitely made me a more mature person and I have a different outlook on the world now. A student - Bentley University View Entire Review"
"367","Copenhagen Business School","Learning How To Live Independently",4,"I learned a lot of traveling during some breaks. It was worthwhile, however I didn't feel it was life changing, rather it was more of a life milestone A student - Bentley University View Entire Review"
"368","Copenhagen Business School","Best Experience Ever",5,"Gained a lot of cultural insight and was able to see a different side of the world. It was very worthwhile A student - Bentley University View Entire Review"
"369","Copenhagen Business School","Culture Over Education, An Extended Vacation In Denmark",4,"Traveling Europe was why I went, I did it, and I loved it A student - Bentley University View Entire Review"
"370","Copenhagen Business School","Copenhagen Is An Amazing City",4.5,"I got to learn a lot about myself and how to live on my own. CBS did not give much help and there was really no campus like Bentley, so it was up to the student to be independent and figure things out for themselves. The city has so much to do and is unlike any other city I have ever been to. It was definitely worthwhile and I r... A student - Bentley University View Entire Review"
"371","Copenhagen Business School","Denmark; Exciting, Memorable, And Difficult All At The Same Time.",5,"Yes,I became more personable and better at doing things on my own. Michael C - University of Wisconsin - LaCrosse View Entire Review"
"372","Copenhagen Business School","Experience Copenhagen",4,"Yes. I learned to be more open-minded and gained new perspective. Dustin A - University of Hawaii - Manoa View Entire Review"
"373","Copenhagen Business School","Denmark: Pricey But Well Worth It!",4,"I learned so much about myself as an individual from my study abroad experience. Not only am I more confident in myself and my abilities but I'm more open-minded to new things. Studying abroad really opened my eyes as to how much is really out there and how much more there is to see. Jenna G - Central Michigan University View Entire Review"
"374","Copenhagen Business School","Copenhagen: Do As The Danes Do.",5,"Copenhagen is a beautiful place, with beautiful people. Everyone was so welcoming. The best part was the people I met. The people I experienced changed my life. Get out of the box and go! Kristin S - University of Nevada - Reno View Entire Review"
"375","Copenhagen Business School","Copenhagen: Biker's Paradise, Perspective Broadening, Exchange Students, Christiana, Party",5,"My perspective was broadened. I met people from a variety of backgrounds. I partied a lot. I traveled to 13 countries. I rode my bike every single day, sometimes for 8 hours at a time. I went to Christiana, where there are no laws. I saw how other cultures live. I realized what other cultures value. I learned to apprecia... Matthew R - University of Southern California View Entire Review"
"376","Copenhagen Business School","Cbs Semester",4.5,"CBS offered courses that wouldn't be available to me at my home university. I loved the different material, and being in classes with a host of international students that had diverse backgrounds and opinions. Leslie Olsovsky - The University of Texas at Austin View Entire Review"
"377","Copenhagen Business School","Copenhagen Is Amazing!",4.5,"Definitely worthwhile, I gained a lot of confidence while abroad. A student - Bentley University View Entire Review"
"378","Copenhagen Business School","Livin' The Life In Copenhagen!",4.5,"I learned how to be self-motivated. I also learned how to be independent and how to better manage my time. It was more than worthwhile. I loved living in Europe and experiencing a different culture. It was truly amazing and I would do it again. Amy V - Bentley University View Entire Review"
"379","Copenhagen Business School","Absolutely Incredible Once In A Lifetime Experience In Copenhagen",5,"A totally different perspective of the world, a great amount of independence, a thirst for new adventures and traveling. Extremely worthwhile, wouldn't trade this experience for the world. A student - Bentley University View Entire Review"
"380","Copenhagen Business School","Best 4 Months Of My Life Studying Abroad",5,"Well traveled, cultured, and in general, I am a more accepting and open person. I am also more independent! A student - Bentley University View Entire Review"
"381","Copenhagen Business School","Copenhagen The Best Experience I Have Ever Had.",4.5,"got very cultured. learned alot about the different countries i traveled too...VERY worth while! chelsea l - Bentley University View Entire Review"
"382","Copenhagen Business School","The Best Six Months Of My Life",5,"The exchange program was one of the most valuable experiences I have had. I met kids from around the world and felt like a local resident of Denmark by the time I left. Matthew S - University of Hawaii - Manoa View Entire Review"
"383","Copenhagen Business School","Exchange In Copenhagen",4,"Yes Quintin D - Pepperdine University Graziadio School of Business and Management View Entire Review"
"384","Copenhagen Business School","Copenhagen Study Abroad Bba International Programs",5,"Great city. Great people. Mazna A - The University of Texas at Austin View Entire Review"
"385","Copenhagen Business School","Cbs A Great Place",5,"Yes it was. The education was not worth while in the classroom, but the life experiences were. I had a great time at the school and with all of the international people that I met. The UH Manoa business counselors are not very informed on anything so you have to go and figure out things for yourself. I had to track down people a... Kyle B - University of Hawaii - Manoa View Entire Review"
"386","Copenhagen Business School","Life Changing Experience In The Wonderful Land Of Denmark",5,"Absolutely, my perception of how cultures function outside of the US was an eye opening experience. Denmark is a perfect example of how socialism can work, which was completely contrary to my beliefs before my study abroad experience. The woman are beautiful, the city is gorgeous, the people are extremely friendly (and most of... Kyle S - California State University - Chico View Entire Review"
"387","DIS: Semester in Copenhagen","So Incredible To Live In Study In A City Like Copenhagen",5,"I learned so much about other cultures A student - Middlebury College View Entire Review"
"388","DIS: Semester in Copenhagen","I Would Live There Forever If I Could!",4.5,"I learned that I'm a lot more independent than I thought and became more confident in my ability to start a new life anywhere. It sounded so crazy to move abroad without knowing anyone at all and I was almost dreading it before leaving the US but after having done the experience it feels like less of a big deal and I could see m... Hadley B - Wellesley College View Entire Review"
"389","DIS: Semester in Copenhagen","Very Different From Wellesley, But A Lot Of Fun And A Lot Of Personal Growth",3.5,"I learned how to live completely on my own and stand on my own two feet. I discovered that I love travel, how to live life slowly and take time for the things that I enjoy. It was a huge confidence boost to build a life completely from scratch and thrive in that new environment on my own. A student - Wellesley College View Entire Review"
"390","DIS: Semester in Copenhagen","I Lived In Europe",3.5,"I learned how to live independently abroad and visited a ton of Europe, so that was great! A student - Wellesley College View Entire Review"
"391","DIS: Semester in Copenhagen","A Great Experience With Friends In Copenhagen",5,"I learned how to acclimate to a larger city and make new friends and new connections. It was absolutely worthwhile, and it was a great experience abroad. Claudia M - Middlebury College View Entire Review"
"392","DIS: Semester in Copenhagen","Copenhagen Is Perfect",5,"Independence, decision making, emotional intelligence. So worth it! A student - Middlebury College View Entire Review"
"393","DIS: Semester in Copenhagen","Immersed And Fun Experience In Copenhagen",4.5,"Yes. A student - Wellesley College View Entire Review"
"394","DIS: Semester in Copenhagen","I Was Very Worthwhile As I Was Able To Embrace The Cultural Aspects",4,"yes It was worthwhile. I embraced my European heritage shark - Middlebury College View Entire Review"
"395","DIS: Semester in Copenhagen","Amazing Time In Copenhagen!",5,"I learned so much both academically and personally. A student - Middlebury College View Entire Review"
"396","DIS: Semester in Copenhagen","Abroad In Copenhagen!",4,"I learned a lot about travelling via public transportation alone because my apartment was far away from my friends and from my classes. A student - Middlebury College View Entire Review"
"397","DIS: Semester in Copenhagen","A Whole New World",5,"I learned how to be a more independent person. John M - Middlebury College View Entire Review"
"398","DIS: Semester in Copenhagen","Experiencing A City Life In A Welfare State.",4.5,"Extremely worthwhile -- tons of life lessons were learned like how to get to school on public transport, how to make friends in an unfamiliar apartment or area, how to collaborate and live with people you don't know or get along particularly well with. William M - Middlebury College View Entire Review"
"399","DIS: Semester in Copenhagen","Great Classes In An Amazing City",3.5,"I was able to developed a better perspective of how other countries percieve the US. It also allowed me to better understand the differences between one country and another. I also developed a higher level of independence. A student - Middlebury College View Entire Review"
"400","DIS: Semester in Copenhagen","A Venture North",3.5,"Yes! I explored so many cities independently as well as grocery shopped and cooked for myself. It was a very formative experience for my personal growth. A student - Wellesley College View Entire Review"
"401","DIS: Semester in Copenhagen","Amazing Experience Especially For Art Students",5,"I learned not only how to live on my own, but how to integrate into a new culture and immerse myself in trying new things. I also gained a lot of valuable knowledge from my studies. Amie T - Wellesley College View Entire Review"
"402","DIS: Semester in Copenhagen","The Best Semester",5,"It was absolutely worthwhile Quinn P - Wellesley College View Entire Review"
"403","DIS: Semester in Copenhagen","Such A Good Learning Experience!",4.5,"Independence and much more confidence as a person. It was definitely worthwhile A student - Brandeis University View Entire Review"
"404","DIS: Semester in Copenhagen","Unfortunate Housing",3,"I do think it was worthwhile- I've become a more independent person and had a lot of cultural exposure, which is great. Despite the challenges, I'm definitely glad I went abroad this fall. A student - Middlebury College View Entire Review"
"405","DIS: Semester in Copenhagen","Surreal Experience!",5,"It was worthwile -- I gained a lot of independence A student - Middlebury College View Entire Review"
"406","DIS: Semester in Copenhagen","Once In A Lifetime Opportunity",5,"i learned the importance of language and cultural nuances and how to live in a new place instead of just ""visit"". A student - Brandeis University View Entire Review"
"407","DIS: Semester in Copenhagen","Hard Earned Fun",3.5,"I gained a sense of independence. It was worthwhile, although I think I have a somewhat pessimistic outlook on it. A student - Middlebury College View Entire Review"
"408","DIS: Semester in Copenhagen","A Rewarding Experience",4,"I learned a lot about different cultures and about how to navigate travel and live in a city. It was definitely worthwhile A student - Middlebury College View Entire Review"
"409","DIS: Semester in Copenhagen","Best 4 Months Of My Life",5,"It was super worthwhile. Learning about other cultures was cool and traveling was super fun. A student - Middlebury College View Entire Review"
"410","DIS: Semester in Copenhagen","Educational And Fun",4,"I learned how to live by myself, how to cook for myself, how to use public transportation. A student - Middlebury College View Entire Review"
"411","DIS: Semester in Copenhagen","Great Life Experience.",5,"Being independent was great for improving my own self-confidence. This was something I wanted out of the experience. A student - Middlebury College View Entire Review"
"412","DIS: Semester in Stockholm","Great Research Experience In Sweden",4,"Research Experience and traveling across Europe. Very worthwhile. A student - Middlebury College View Entire Review"
"413","DIS: Semester in Stockholm","Grand",4.5,"It was definitely worth it. I meet people I probably wouldn't have become friends within the Middlebury bubble. It was a lovely reset from the sometimes toxic Middlebury environment. I learned to be more open-minded, optimistic, and less judgemental. A student - Middlebury College View Entire Review"
"414","DIS: Semester in Stockholm","Light In The Darkness",4.5,"It was definitely worthwhile. I learnt so much about public health and the history of sex education in Europe. A student - Wellesley College View Entire Review"
"415","DIS: Semester in Stockholm","Very Cold And Dark But Interesting",2,"It was definitely worthwhile! I made some great friends and got to travel around Europe a lot! I learned that sunlight is really important to me. Katie L - Brandeis University View Entire Review"
"416","DIS: Semester in Stockholm","An Incredible Experience That Will Influence My Future Choices",5,"I learned to give myself what I need and that I enjoy spending time with myself Menucha K - Brandeis University View Entire Review"
"417","DIS: Semester in Stockholm","The Death Of Robert Pumpkin Trousers Who Loved To Dance",4,"I cannot be sustainably happy in Europe. A student - Middlebury College View Entire Review"
"418","DIS: Semester in Stockholm","Fun Time",3.5,"Lots of travel and new insight into academics through the options of elective classes A student - Middlebury College View Entire Review"
"419","DIS: Semester in Stockholm","I Loved Living In The City Of Stockholm It Is My Favorite Place In The World,",4.5,"i learned to be bold and put myself outside of my comfort zone. Grace V - Middlebury College View Entire Review"
"420","DIS: Semester in Stockholm","Dis Study Abroad Stockholm",4,"Overall it was a great experience. I was able to get an understanding of Swedish and Nordic culture and explore other parts of Europe during travelling breaks as well. A student - Middlebury College View Entire Review"
"421","DIS: Semester in Stockholm","A Short But Deep Dive Into Sweden",4.5,"It was extremely worthwhile. I matured in some aspects, found ways to cope with difficult emotions and situations, and learned a heck of a lot about Sweden and Swedish culture/history. A student - Middlebury College View Entire Review"
"422","DIS: Semester in Stockholm","Falling In Love With Stockholm",4,"I learned a lot about history, politics, traveling, and myself, and yes it was completely worthwhile. A student - Brandeis University View Entire Review"
"423","DIS: Semester in Stockholm","Life Changing",4,"Every second of it was worthwhile. I learned how to step out of my comfort zone and try new things. I have definitely changed as a person. I am more spontaneous and appreciative of the people and nature around me. A student - Brandeis University View Entire Review"
"424","DIS: Semester in Stockholm","An Fun Engaging Semester!",5,"I learned a ton about Sweden and Swedish culture as well as how important it is to get outside of your comfort zone! Molly Dorion - Middlebury College View Entire Review"
"425","DIS: Semester in Stockholm","Fun Time In Stockholm And Traveling Across Europe",4.5,"Learned a lot about Scandinavian culture as well as Europe in general. Sam R - Middlebury College View Entire Review"
"426","DIS: Semester in Stockholm","A Safe And Calm Nature Retreat For A Semester",4.5,"I learned about how to live in the Swedish culture and what elements I could bring back to the states. A student - Wellesley College View Entire Review"
"427","DIS: Semester in Stockholm","Formative",4,"Similar to last answer, it was so worthwhile. A student - Middlebury College View Entire Review"
"428","DIS: Semester in Stockholm","Well Worth It!",5,"It was truly a great experience in living on my own so far away from home. A student - Middlebury College View Entire Review"
"429","DIS: Semester in Stockholm","Amazing Experience Learning A New Culture/Lifestyle With Incredible People.",5,"I learned a lot about myself as a person and how I respond to adversity as well as being separated from my friends and family. I had the opportunity to live with a new family on a new continent and took unique classes with insightful professors from around the world. Awa Victoria M - Middlebury College View Entire Review"
"430","DIS: Semester in Stockholm","Truly Amazing",5,"I learned so much about myself and where I see myself in the world. Studying abroad allowed me to view a new culture and appreciate in some aspects of my own, but also bring back other cultures' practices. A student - Brandeis University View Entire Review"
"431","DIS: Semester in Stockholm","Making The Most Of ""Stockholm As Your Home, Europe As Your Classroom""",4.5,"Much of what I gained from my experience abroad was personal and formative, as I feel that I have grown so much as an individual and have a new perspective from which to live my life. This program was absolutely worthwhile, and I am sure that it will have an impact on me for the rest of my life. A student - Middlebury College View Entire Review"
"432","DIS: Semester in Stockholm","A Taste Of Being Swedes",4,"I think the cultural aspect was the most valuable. field studies and cultural courses are very helpful. I really enjoyed the lifestyle of sweden Shuyi L - Middlebury College View Entire Review"
"433","DIS: Semester in Stockholm","Swedish Experience",3,"N/A A student - Brandeis University View Entire Review"
"434","DIS: Semester in Stockholm","Exploring Freely",3.5,"Studying abroad taught me how to be a more self-sufficient adult and showed me just how diverse the world was. The relationships I built are irreplaceable and I'm grateful for the opportunity to have emersed myself in an environment so different to the one I was used to. A student - Brandeis University View Entire Review"
"435","DIS: Semester in Stockholm","Fun",4,"na A student - Middlebury College View Entire Review"
"436","DIS: Semester in Stockholm","Fair",2,"I learned how to live on my own A student - Brandeis University View Entire Review"
"437","EDUCO Consortium, Paris","Learning French, Making Friends, And Living In Paris!",4.5,"I learned a lot of French and also how to adapt to a new environment. A student - Cornell University View Entire Review"
"438","EDUCO Consortium, Paris","Exciting, Enriching And Incredible.",5,"My French improved by leaps and bounds, I made French friends that I will be in touch with for a long time, I found my true passion in life through the baking course that EDUCO offered, where I got an internship later on. It was the most incredible experience in my college career to date. hannah c - Cornell University View Entire Review"
"439","EDUCO Consortium, Paris","Paris",4,". Sara D - Tulane University View Entire Review"
"440","EDUCO Consortium, Paris","",4,"My study abroad experience was very worthwhile, specially because of everything I learned about french culture and lifestyle as well as because of how much my french improved. I would definitely recommend it, specially the family-stay option for housing. My french would not have improved as much if it hadn't been for that. Mariana A - Tulane University View Entire Review"
"441","EDUCO Consortium, Paris","Educo A Wonderful Introduction To Paris!!",4.5,"I learned how different the French are from Americans, even though our cultures share many elements. Everything from their way of speaking to their sense of humor and hand gestures are very different, and I loved seeing this play out and being able to communicate more as a fluent French speaker than as someone who had only learn... Megan M - Cornell University View Entire Review"
"442","EDUCO Consortium, Paris","Year Long Student, Paris",4,"I love knowing that I can speak a foreign language. Doing this program made me feel like I could do most anything I set my mind to. I went out on my own, not knowing anyone in my program, and I made a lot of friends and learned a lot. I learned that I could be independent, but I also learned that I really love my friends at home... Kimberly S - Tulane University View Entire Review"
"443","EDUCO Consortium, Paris","Educo Paris",5,"I am bilingual in French now and can understand French accents from all over the world. I am now looking for post-grad opportunities abroad after a great year of JYA. Erin R - Tulane University View Entire Review"
"444","EDUCO Consortium, Paris","",4,"Yes but not because of the program itself. The one thing the program really taught be was independence, how to handle myself in a situation without any help from familiar resources. This isn't sarcastic, it's a valuable experience. Margot S - Tulane University View Entire Review"
"445","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Career And Change",4,"It was totally worthwhile. Sheindl S - Brandeis University View Entire Review"
"446","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","A Semester Filled With New Adventures",4.5,"I learned so much from this experience and gained many new friends. I learned how to be independent, come out of my comfort zone, and what is truly important to me. I learned more about my Jewish identity and why I practice the way I do. This was a worthwhile experience for me because I know I will take all these lessons with me... A student - Brandeis University View Entire Review"
"447","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","An Anxious Yiddishkeit Experience",1,"Yes. It gave me clarity on what I want out of life and how I want to achieve it. Sometimes with darkness comes light. Dana Brown - Brandeis University View Entire Review"
"448","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Great Semester In Jerusalem",3.5,"I learned a lot this semester and gained a lot from studying at hebrew U and living in jerusalem. I most enjoyed just having the opportunity to really live in Israel independently and explore on my own. A student - Brandeis University View Entire Review"
"449","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Jerusalem Is The Best",5,"An closer understanding of Israeli and Palestinian culture. Yes! A student - Middlebury College View Entire Review"
"450","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Living In Israel!",4,"More Hebrew knowledge, it was worthwhile Hannah T - Brandeis University View Entire Review"
"451","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","A Wild And Busy Time With Some Academics",4.5,"It was very worthwhile. I got to practice ebing an adult within a supportive community. A student - Brandeis University View Entire Review"
"452","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Jerusalem: City Of My Heart",5,"that Israel is the best & Jerusalem its best city Joey Barr - Brandeis University View Entire Review"
"453","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Great City, Okay School",4,"Definitely worthwhile. Met very interesting people. Got to know the city and country in a personal way. A student - Brandeis University View Entire Review"
"454","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","I Had An Incredible Experience In Which I Discovered My Love For Israel.",4.5,"It was definitely worth while. I became more independent and learned a lot about myself. I learned to take advantage of as many opportunities that come my way. Sydney M - Brandeis University View Entire Review"
"455","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Great City, Horrible Program",2.5,"-- Andy W - The University of Texas at Austin View Entire Review"
"456","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","One Of The Most Amazing Adventures Of My Life.",4.5,"So worthwhile, learned so much about myself and others. A student - Brandeis University View Entire Review"
"457","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","My Year At Hebrew U Was The Best Year Of My Life!",4.5,"I learned how to be truly independent, how to meet new people who are completely different from myself and open up to them and how to view people and customs with an open mind. It was very worthwhile. A student - Brandeis University View Entire Review"
"458","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Amazing Experience, University Need Some Work",4.5,"I gained a new appreciation for Israel and a deepening of my own Jewish Identity. It was one of the best things I've done in my life as it gave me not only a deeper appreciation for the world and non-American culture, but also furthered my own connection and identity. A student - Brandeis University View Entire Review"
"459","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","The Most Incredible Experience Of My Life",4.5,"I learned how to truly live by myself, advocate better for myself and others, and I made the most amazing friends! 100% worthwhile Chelsea Todtfeld - Brandeis University View Entire Review"
"460","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Falafel And Conflict; Immersion In Culture And Learning About History.",3.5,"I learned about interacting with others and I've become more outgoing. I was able to reflect on what I've learned at Brandeis, but in a ""real world"" context. A student - Brandeis University View Entire Review"
"461","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Ris: A Unique Time In A Unique City",5,"I learned a lot about Jewish history and Israeli culture. Max Silverstone - Brandeis University View Entire Review"
"462","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","An Immersive Experience",4.5,"I learned how to better live on my own and navigate issues that arise without being able to fully consult others Ari J - Brandeis University View Entire Review"
"463","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","An Amazing Semester In A Fascinating And Delicious City",4.5,"Learned about the complexities of Israel, being in Jerusalem, which is really the center of Judaism worldwide. It's also incredibly diverse with a tapestry of other cultures as well. I did Nachshon, which is also a terrific program. Would highly recommend. It's an excellent supplement for anyone interested in pursuing a career i... A student - Brandeis University View Entire Review"
"464","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Politics And Food",4.5,"yes A student - Brandeis University View Entire Review"
"465","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Politics, Religion, And Fun: The Trifecta Of Jerusalem",4,"Learned a lot of language and a lot of the political and religious climate of the area A student - Brandeis University View Entire Review"
"466","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Abroad At Hebrew U: The Best Semester Of My Life",5,"It was an absolutely worthwhile experience. Being in Israel gave me a greater appreciation and a deeper understanding of the forces contributing to the Israeli psyche and Israeli mentality. I learned in my courses on Palestinian Modern History and Contemporary Israeli Identities the intricacies and complexities surrounding Israe... Gabriel Sanders - Brandeis University View Entire Review"
"467","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","Jordan Went To Israel And Loved It",5,"It was worthwhile A student - Wellesley College View Entire Review"
"468","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","My Experience At Hebrew University Of Jerusalem",3.5,"I learned about Jerusalem and Israel. It was very worthwhile, but I could have learned a lot more at a different program in Israel. A student - Brandeis University View Entire Review"
"469","Hebrew U of Jerusalem, Int'l School of Ag Sciences - CALS Exchange","It Wasn't The Best",1,"I'm not sure A student - Brandeis University View Entire Review"
"470","Hong Kong Polytechnic University (PolyU): Human Ecology Exchange","Life Changing",3.5,"Being independent. Somewhat. I gained independence though a stressful event. A student - The Catholic University of America View Entire Review"
"471","Hong Kong University of Science and Technology (HKUST)","A Gateway To Asia",4.5,"New perspectives on other civilizations. I had never been so exposed to Asian culture in that way. I traveled to many countries in Asia and their way of living is drastically different from how it's like in North America and Europe. People are pretty honest in general, have a sense of pride, aren't as hygienic or social as we ex... Maximo Gonzalez - The University of Texas at Austin View Entire Review"
"472","Hong Kong University of Science and Technology (HKUST)","Hkust Is A Beautiful And Amazing University!",5,"I learned how to make friends from many different countries. I also learned how to adapt my lifestyle and I gained a lot of insight into many different cultures. Patrick - The University of Texas at Austin View Entire Review"
"473","Hong Kong University of Science and Technology (HKUST)","Enjoyable, Rewarding And Academically Reigorous",4,"I gained experience studying in a highly competitive environment where teamwork is essential to succeeding. I also gained many friendships with future colleagues from all over the world. It was definitely worth it. A student - The University of Texas at Austin View Entire Review"
"474","Hong Kong University of Science and Technology (HKUST)",".",3,". Trevor S - University of California - Riverside View Entire Review"
"475","Hong Kong University of Science and Technology (HKUST)","Great City, Great Campus, Decent Classes",4,"Yes, this is a great way to start exploring asia, so I loved it. Vinayak R - The University of Texas at Austin View Entire Review"
"476","Hong Kong University of Science and Technology (HKUST)","When It Comes To Taking Business Courses Abroad, Hkust Is Pretty Hard To Beat!",5,"Totally worthwhile - If you want to know what I gained from it, find out for yourself. :) Richard R - Rice University View Entire Review"
"477","Hong Kong University of Science and Technology (HKUST)","Hectic Hong Kong",4.5,"I've definitely learned about the different political scenes internationally as well as the different perspectives people have globally. A student - The University of Texas at Austin View Entire Review"
"478","Hong Kong University of Science and Technology (HKUST)","4 Months Of Bad Hygiene, Bad Nutrition, Bad Classes, But In A Beautiful City",3,"I learned how to adapt to things I never thought I'd have to get used to (for example, the cleaning ladies cleaned the bathrooms by plunging the mops into the urinals and mopping the ground with it ... by the way this is a girl's bathroom... I wish I were lying). Somehow at HKUST doors can be broken (?!) and prevent you from get... A student - The University of Texas at Austin View Entire Review"
"479","Hong Kong University of Science and Technology (HKUST)","An Adventure To Never Forget",4.5,"I learned a lot about myself and dealing with different types of people. I also feel that I matured from my experience abroad. It was honestly the best time of my life. Brandon W - The University of Texas at Austin View Entire Review"
"480","Hong Kong University of Science and Technology (HKUST)","Great City, Great Campus, Decent Classes",4,"Yes, this is a great way to start exploring asia, so I loved it. Vinayak R - The University of Texas at Austin View Entire Review"
